image_name	GFP_hand	wt_hand
Y14-2x1	200	223
Y19-2x1	181	170
Y32-5x1	234	255
Y36-1x1	293	272
Y39-1x1	200	188
Y43-3x1	277	283
Y54-3x1	66	68
Y67G-2x1	298	292
Y68-2x1	293	286
Y70-1x1	239	266
Y73-1x1	141	147
Y75-2x1	246	239
Y76-1x1	219	220
Y80-1x1	246	291
Y82-7x1	240	234
Y82-8x1	190	157
Y85-1x1	286	267
Y85-4x1	98	101
Y85-5x1	320	271
Y85-6x1	204	190
Y86-1x1	276	246
Y86-2x1	226	229
Y86-4x1	334	320
Y2x10-7	119	110
Y2x11-1	253	236
Y2x14-2	104	92
Y2x14-6	136	166
Y2x17-4	210	233
Y2x20-6?	225	223
Y2x28B-1	111	111
Y2x29B-1	276	241
Y2x29B-2	150	212
Y2x29B-3	149	180
Y2x29B-4	245	273
Y2x29B-5	189	236
Y2x29B-6	85	107
Y2x36-1	226	213
Y2x36-2	166	210
Y2x36-3	278	270
Y2x36-4	236	191
Y2x37-1	132	148
Y2x37-3	162	185
Y2x37-4	229	214
Y2x37-5	178	224
Y2x37-6	145	140
Y2x38-1	225	248
Y2x38-2	212	222
Y2x38-3	82	54
Y2x38-5	163	158
Y2x39-1	196	237
Y2x39-2	229	231
Y2x39-3	174	205
Y2x39-4	162	150
Y2x40-1	175	156
Y2x40-2	191	191
Y2x40-3	194	221
Y2x40-5	157	218
Y2x41B-1	216	179
Y2x41B-2	205	201
Y2x41B-4	127	123
Y2x41B-5	177	190
Y2x41B-6	83	121
Y2x42-1	171	155
Y2x42-2	144	200
Y2x42-3	281	257
Y2x42-4	152	175
Y2x42-5	158	140
Y2x42-7	237	274
Y2x45-2	261	234
Y2x46-3	178	191
Y2x51-1	157	164
Y2x51-2	63	67
Y2x51-3	155	162
Y2x51-4	174	191
Y2x51-6	169	208
Y2x52-1	226	255
Y2x52-3	266	267
Y2x55-5	103	92
Y2x66-3	168	150
Y2x66-7	211	234
Y2x68-1	89	116
Y2x70-1	209	179
Y2x70-2	169	190
Y2x70-3	280	221
Y2x70-5	131	163
Y2x70-6	194	157
Y2x71-2	148	180
Y2x71-5	130	141
Y2x81-1	99	98
Y2x85-1	194	204
Y2x85-4	167	194
Y2x85-5	169	204
Y2x85-6	171	213
Y2x86-1	263	294
Y2x86-2	254	306
Y2x86-3	209	227
Y2x86-4	249	195
Y2x86-5	164	153
Y2x86G-1	89	103
Y2x86G-2	145	130
Y2x87-1	101	290
Y2x87-2	52	196
Y2x87-3	86	247
Y2x87-4	71	196
Y2x87-5	35	208
Y2x87-6	46	246
Y2x87-8	96	179
Y2x88-1	202	206
Y2x88-3	213	204
Y2x88-4	213	228
Y2x89-4	169	205
Y200-3x1	254	290
Y202-1x1	228	230
Y204-5x1	182	187
Y207-1x1	223	238
Y209-4x1	221	215
Y210-7x1	230	255
Y211-6x1	157	202
Y213-1x1	231	249
Y214-4x1	298	270
Y215-6x1	188	192
Y218-1x1	179	198
Y220-1x1	221	211
Y220-3x1	225	170
Y220-5x1	246	233
Y220-6x1	221	210
Y220-7x1	148	154
Y223-5x1	223	228
Y224-4x1	189	204
Y229-1x1	195	234
Y231-2x1	280	270
Y2x200-3	207	210
Y2x204-5	181	185
Y2x207G-2	219	264
Y2x212-1	210	247
Y2x213-4	313	313
Y2x213-6	275	247
Y2x215-6	208	239
Y2x216-1	232	246
Y2x219-7	101	122
Y2x220-1	38	119
Y2x220-3	12	439
Y2x220-5	52	368
Y2x220-6	9	256
Y2x220-7	1	187
Y2x221-1	4	237
Y2x221-2	25	209
Y2x222-2	35	390
Y2x225-2	104	94
Y2x226-2	149	145
Y2x227-4	228	228
Y2x230-1	220	216
Y2x232-1	198	252
Y2x232-2	75	110
Y2x232-3	152	182
Y2x232-4	178	204
Y2x232-5	173	191
Y2x232-6	211	248
