image_name	GFP_hand	wt_hand	GFP_tf	wt_tf	percent_GFP_hand	percent_GFP_tf
Y84-1x1	210	224	216	239	0.483870967741935	0.474725274725275
Y84-2x1	213	301	384	184	0.414396887159533	0.676056338028169
Y84-3x1	282	235	285	230	0.545454545454545	0.553398058252427
Y84-4x1	217	214	222	226	0.503480278422274	0.495535714285714
Y84-5x1	235	224	238	223	0.5119825708061	0.516268980477223
Y84-6x1	270	266	276	258	0.503731343283582	0.51685393258427
Y85-1x1	286	267	305	205	0.517179023508137	0.598039215686274
Y85-4x1	98	101	107	100	0.492462311557789	0.516908212560386
Y85-5x1	320	271	357	157	0.541455160744501	0.694552529182879
Y85-6x1	204	190	216	184	0.517766497461929	0.54
Y86-1x1	276	246	287	239	0.528735632183908	0.545627376425855
Y86-2x1	226	229	235	223	0.496703296703297	0.513100436681223
Y86-3x1	257	229	282	98	0.52880658436214	0.742105263157895
Y86-4x1	334	320	329	283	0.510703363914373	0.537581699346405
Y86-5x1	269	293	281	281	0.47864768683274	0.5
Y86G-1x1	260	252	265	247	0.5078125	0.517578125
Y86G-2x1	237	269	242	257	0.468379446640316	0.48496993987976
Y87-1x1	233	202	241	198	0.535632183908046	0.548974943052392
Y87-2x1	258	249	265	242	0.50887573964497	0.522682445759369
Y87-3x1	277	296	284	248	0.483420593368237	0.533834586466165
Y87-4x1	217	284	316	243	0.43313373253493	0.565295169946333
Y87-5x1	276	244	287	189	0.530769230769231	0.602941176470588
Y87-6x1	261	244	263	228	0.516831683168317	0.535641547861507
Y87-8x1	258	269	264	252	0.489563567362429	0.511627906976744
